epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,124.404,1.30829,2.49867,1.5671,0.65669,0.60499,0.66832,0.38954,1.33809,1.61624,1.53917,0.00998371,0.0033279,0.00998371,0.0033279,0.00998371,0.0033279,0.00998371,0.0033279
2,229.096,1.27357,1.82263,1.53328,0.53093,0.38801,0.40717,0.22153,1.62266,2.13856,1.90174,0.0197859,0.00659529,0.0197859,0.00659529,0.0197859,0.00659529,0.0197859,0.00659529
3,327.238,1.38173,1.87668,1.62736,0.43953,0.44928,0.39758,0.23027,1.44388,1.91784,1.72256,0.02939,0.00979668,0.02939,0.00979668,0.02939,0.00979668,0.02939,0.00979668
4,423.513,1.42106,1.94364,1.66815,0.48359,0.44961,0.45113,0.27536,1.39099,1.9476,1.70878,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,520.15,1.34879,1.76597,1.61071,0.68862,0.62283,0.67718,0.44883,1.17456,1.29553,1.48718,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,616.155,1.29384,1.65314,1.56723,0.70322,0.65736,0.70152,0.4806,1.09425,1.21204,1.43588,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,711.845,1.26072,1.56168,1.54252,0.7419,0.64729,0.71523,0.50815,1.00869,1.18601,1.36249,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,807.75,1.23241,1.50707,1.52736,0.7538,0.65608,0.74068,0.52384,1.03569,1.11737,1.39496,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,905.153,1.19717,1.42243,1.49339,0.75121,0.65342,0.74079,0.53505,0.97923,1.17453,1.33245,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1000.96,1.18102,1.38628,1.48049,0.77339,0.70963,0.78269,0.56,0.99367,1.03847,1.33446,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
